order_id,order_date,store,channel,customer_segment,city,product_category,product_name,unit_price,quantity,discount_rate,voucher_amount,revenue,payment_method,delivery_days,order_status,returned_qty,is_promo,margin_rate,profit,month
8E0DA3B9,2024-05-16,Store A,Online,Corporate,Busan,Home,Cookware Set,207.94,2,0.101,8.89,364.99,Card,4.1,Completed,0,1,0.288,105.12,2024-05
DCD6B3BF,2024-12-13,Store C,Online,Corporate,Seoul,Grocery,Rice 5kg,3.19,3,0.106,0.92,7.64,Card,2.3,Completed,0,0,0.295,2.25,2024-12
C8D205C4,2024-09-24,Store E,Offline,Consumer,Daegu,Beauty,Sunscreen,60.31,1,0.156,3.42,47.48,E-Wallet,1.0,Completed,0,1,0.222,10.54,2024-09
BEA69AEF,2024-08-06,Store D,Online,Corporate,Busan,Electronics,Tablet,776.84,3,0.17,2.84,1931.49,Card,3.7,Completed,0,1,0.178,343.81,2024-08
5686E7A2,2024-02-26,Store D,Online,Consumer,Seoul,Electronics,Smartphone,461.37,1,0.185,6.88,369.14,E-Wallet,1.9,Completed,0,1,0.347,128.09,2024-02
54FD95B7,2024-02-26,Store D,Offline,Corporate,Daejeon,Apparel,Dress,95.31,2,0.179,14.56,141.94,Card,1.3,Returned,2,1,0.283,40.17,2024-02
4536E0D8,2024-01-22,Store D,Online,Small Business,Busan,Apparel,Jacket,33.33,2,0.0,0.15,66.51,Bank Transfer,1.4,Completed,0,0,0.344,22.88,2024-01
8B6C8A8C,2024-11-12,Store D,Offline,Consumer,Seoul,Apparel,T-Shirt,48.84,7,0.0,0.7,341.18,Bank Transfer,3.7,Completed,0,0,0.253,86.32,2024-11
7707D78A,2024-08-07,Store A,Online,Corporate,Busan,Beauty,Shampoo,78.15,3,0.059,3.08,217.54,Card,3.2,Completed,0,0,0.263,57.21,2024-08
509A0C59,2024-09-15,Store C,Online,Consumer,Seoul,Electronics,Tablet,889.75,3,0.097,0.08,2410.25,Card,3.9,Completed,0,0,0.33,795.38,2024-09
EA5FA430,2024-01-08,Store A,Online,Consumer,Daegu,Electronics,Smartwatch,534.45,2,0.051,0.12,1014.27,Card,3.8,Completed,0,0,0.331,335.72,2024-01
D009E078,2024-12-20,Store E,Online,Consumer,Daegu,Apparel,Sneakers,113.1,2,0.063,1.9,210.05,Bank Transfer,2.5,Returned,2,0,0.336,70.58,2024-12
DAA1D5F3,2024-10-30,Store E,Offline,Consumer,Daejeon,Beauty,Conditioner,45.64,2,0.073,1.33,83.29,Card,2.9,Completed,0,0,0.259,21.57,2024-10
01B736DB,2024-03-18,Store A,Online,Consumer,Busan,Electronics,Headphones,368.69,4,0.146,2.9,1256.55,Cash,2.4,Completed,0,0,0.323,405.87,2024-03
A812ABE9,2024-03-07,Store D,Online,Corporate,Seoul,Home,Chair,94.73,8,0.017,1.8,743.16,Card,2.7,Completed,0,0,0.358,266.05,2024-03
AFAEEE9F,2024-03-07,Store E,Online,Consumer,Incheon,Apparel,Jacket,112.6,7,0.094,6.07,708.04,Card,1.8,Completed,0,0,0.273,193.29,2024-03
2FD79230,2024-04-21,Store A,Online,Corporate,Seoul,Grocery,Rice 5kg,8.55,1,0.094,0.33,7.42,Card,3.5,Cancelled,0,0,0.244,1.81,2024-04
E3740D2B,2024-07-10,Store C,Offline,Consumer,Busan,Grocery,Milk 1L,24.03,5,0.144,0.71,102.14,Card,4.3,Completed,0,0,0.374,38.2,2024-07
D8AFE799,2024-06-06,Store E,Online,Consumer,Busan,Apparel,T-Shirt,73.33,6,0.193,3.4,351.66,Cash,2.0,Completed,0,1,0.234,82.29,2024-06
C861F08D,2024-04-16,Store A,Offline,Corporate,Seoul,Electronics,Laptop,704.72,3,0.235,3.7,1613.63,E-Wallet,4.5,Completed,0,1,0.324,522.82,2024-04
6CF037C0,2024-08-11,Store D,Offline,Consumer,Seoul,Apparel,Jeans,67.42,5,0.04,2.78,320.84,Cash,3.1,Completed,0,0,0.276,88.55,2024-08
551DFFBD,2024-02-20,Store B,Online,Consumer,Daegu,Electronics,Tablet,354.21,2,0.0,5.24,703.18,Card,3.3,Completed,0,1,0.151,106.18,2024-02
1A2A995D,2024-04-16,Store E,Offline,Corporate,Daegu,Beauty,Shampoo,20.2,3,0.081,2.97,52.72,E-Wallet,1.0,Returned,1,0,0.359,18.93,2024-04
8BD64D80,2024-05-13,Store E,Online,Consumer,Seoul,Grocery,Rice 5kg,25.59,2,0.0,0.36,50.82,Bank Transfer,1.0,Completed,0,0,0.1,5.08,2024-05
DCE9226F,2024-06-15,Store E,Online,Consumer,Seoul,Beauty,Shampoo,59.77,2,0.319,4.96,76.45,E-Wallet,3.2,Completed,0,1,0.141,10.78,2024-06
12536B51,2024-10-13,Store C,Online,Consumer,Seoul,Grocery,Coffee 500g,23.64,7,0.03,0.99,159.53,Card,3.9,Completed,0,0,0.317,50.57,2024-10
E7DB860C,2024-03-13,Store E,Offline,Small Business,Daegu,Apparel,Jacket,92.53,4,0.145,1.0,315.45,Card,2.2,Returned,1,0,0.317,100.0,2024-03
E3017718,2024-07-06,Store D,Offline,Corporate,Seoul,Electronics,Tablet,256.14,4,0.175,2.74,842.52,Card,5.0,Completed,0,1,0.235,197.99,2024-07
54F06BF4,2024-08-04,Store B,Online,Corporate,Incheon,Beauty,Lipstick,71.54,2,0.127,0.75,124.16,Bank Transfer,3.9,Completed,0,0,0.29,36.01,2024-08
6A5A2825,2024-01-17,Store D,Offline,Corporate,Seoul,Apparel,T-Shirt,76.15,2,0.266,5.94,105.85,Card,1.9,Completed,0,1,0.103,10.9,2024-01
BF65D6B1,2024-08-09,Store A,Online,Consumer,Busan,Beauty,Conditioner,17.13,2,0.084,0.81,30.57,Card,3.0,Completed,0,0,0.329,10.06,2024-08
CAA1F015,2024-03-03,Store C,Online,Consumer,Seoul,Apparel,Sneakers,63.5,1,0.033,0.99,60.41,Card,6.0,Completed,0,0,0.297,17.94,2024-03
C2CF2334,2024-01-24,Store A,Online,Corporate,Daegu,Electronics,Smartphone,783.59,4,0.029,1.79,3041.67,Cash,1.5,Cancelled,0,0,0.277,842.54,2024-01
A8A611B5,2024-12-12,Store A,Offline,Consumer,Seoul,Grocery,Milk 1L,36.11,2,0.16,5.3,55.36,Cash,3.6,Completed,0,1,0.281,15.56,2024-12
80D3FDAB,2024-12-18,Store A,Offline,Consumer,Busan,Electronics,Tablet,348.49,4,0.085,1.26,1274.21,Card,2.6,Completed,0,0,0.315,401.38,2024-12
BACB8E6E,2024-10-22,Store D,Online,Consumer,Seoul,Grocery,Rice 5kg,29.03,3,0.029,10.77,73.79,Card,3.8,Completed,0,1,0.278,20.51,2024-10
B28CCE49,2024-04-21,Store B,Online,Consumer,Incheon,Grocery,Pasta 1kg,5.8,3,0.135,1.72,13.33,Cash,4.5,Completed,0,0,0.149,1.99,2024-04
8B1DA707,2024-02-05,Store D,Online,Small Business,Daegu,Beauty,Shampoo,10.42,3,0.157,9.82,16.53,E-Wallet,2.5,Completed,0,1,0.434,7.17,2024-02
D4ABC3AA,2024-09-06,Store A,Online,Consumer,Seoul,Beauty,Sunscreen,48.35,2,0.122,0.74,84.16,Bank Transfer,4.3,Completed,0,0,0.364,30.63,2024-09
73BAEDF9,2024-06-09,Store B,Online,Consumer,Daegu,Home,Lamp,214.55,2,0.172,11.07,344.22,E-Wallet,5.7,Returned,1,1,0.19,65.4,2024-06
3CC64A5A,2024-02-14,Store C,Offline,Consumer,Busan,Grocery,Olive Oil 500ml,32.24,4,0.107,0.07,115.09,Bank Transfer,3.1,Completed,0,0,0.256,29.46,2024-02
18B905C1,2024-06-29,Store D,Online,Small Business,Seoul,Apparel,Sneakers,50.72,2,0.053,1.67,94.39,Cash,3.9,Completed,0,0,0.263,24.82,2024-06
89247184,2024-01-13,Store B,Online,Consumer,Seoul,Home,Vacuum,21.83,3,0.165,5.93,48.75,Card,2.3,Completed,0,1,0.356,17.36,2024-01
54CE0EBF,2024-11-27,Store C,Online,Consumer,Seoul,Home,Lamp,154.27,4,0.029,1.13,598.05,Cash,3.0,Completed,0,0,0.129,77.15,2024-11
B471670B,2024-04-04,Store E,Offline,Corporate,Incheon,Apparel,Jacket,16.66,4,0.01,0.33,65.64,Cash,2.8,Completed,0,0,0.245,16.08,2024-04
804447F1,2024-08-29,Store C,Offline,Corporate,Incheon,Apparel,T-Shirt,24.66,2,0.192,7.1,32.75,Cash,4.0,Cancelled,0,1,0.157,5.14,2024-08
24223388,2024-04-23,Store A,Online,Consumer,Seoul,Apparel,Jeans,49.3,3,0.072,0.91,136.34,Card,4.4,Completed,0,0,0.26,35.45,2024-04
CEA1AE02,2024-07-08,Store A,Offline,Consumer,Busan,Home,Lamp,142.41,1,0.233,7.32,101.91,Card,2.9,Completed,0,1,0.247,25.17,2024-07
D24B2AEC,2024-07-18,Store E,Online,Consumer,Daegu,Grocery,Coffee 500g,12.62,3,0.169,4.37,27.09,Card,4.8,Completed,0,1,0.286,7.75,2024-07
C775CB0B,2024-03-08,Store A,Online,Consumer,Daejeon,Electronics,Camera,586.4,3,0.066,1.36,1641.73,Card,4.8,Completed,0,0,0.238,390.73,2024-03
0C20276F,2024-12-19,Store E,Online,Consumer,Busan,Grocery,Rice 5kg,4.1,3,0.139,1.15,9.44,Card,4.0,Completed,0,0,0.227,2.14,2024-12
A53A3E90,2024-10-09,Store C,Online,Consumer,Daejeon,Beauty,Shampoo,18.41,3,0.302,2.01,36.54,Bank Transfer,2.4,Completed,0,1,0.323,11.8,2024-10
E7A29D73,2024-12-08,Store E,Online,Consumer,Busan,Grocery,Coffee 500g,28.42,3,0.16,15.45,56.17,Card,2.3,Completed,0,1,0.312,17.53,2024-12
EC7CDE95,2024-11-22,Store D,Offline,Consumer,Seoul,Home,Cookware Set,59.8,3,0.147,6.39,146.64,Card,2.0,Cancelled,0,1,0.319,46.78,2024-11
64FE1770,2024-08-06,Store E,Offline,Corporate,Daegu,Beauty,Lipstick,54.06,2,0.052,0.11,102.39,Card,4.1,Returned,1,0,0.268,27.44,2024-08
39898C53,2024-12-02,Store B,Offline,Small Business,Seoul,Electronics,Camera,191.01,4,0.248,10.21,564.35,Cash,1.5,Completed,0,1,0.24,135.44,2024-12
BCB36B6B,2024-02-02,Store D,Online,Corporate,Seoul,Grocery,Milk 1L,17.48,4,0.205,12.23,43.36,Card,3.8,Completed,0,1,0.272,11.79,2024-02
CC544B78,2024-03-12,Store B,Online,Consumer,Seoul,Electronics,Camera,283.06,2,0.053,0.37,535.75,Card,1.7,Completed,0,0,0.315,168.76,2024-03
6B3A993A,2024-01-17,Store C,Offline,Consumer,Daegu,Grocery,Coffee 500g,6.17,1,0.25,5.25,0.0,Cash,4.0,Completed,0,1,0.128,0.0,2024-01
B22243FC,2024-04-28,Store C,Online,Small Business,Daegu,Grocery,Pasta 1kg,23.55,2,0.113,0.44,41.34,Card,3.0,Completed,0,0,0.308,12.73,2024-04
54FBDFC5,2024-05-21,Store E,Online,Consumer,Seoul,Apparel,Sneakers,112.48,4,0.033,0.33,434.74,E-Wallet,4.6,Returned,1,0,0.302,131.29,2024-05
DEC7BECA,2024-04-09,Store E,Online,Consumer,Seoul,Electronics,Smartphone,191.09,3,0.052,1.44,542.02,E-Wallet,4.4,Completed,0,0,0.284,153.93,2024-04
EC8DEBA9,2024-10-29,Store D,Offline,Consumer,Seoul,Beauty,Lipstick,38.35,5,0.17,5.87,153.28,Card,4.7,Completed,0,1,0.27,41.39,2024-10
FC0139E0,2024-05-10,Store B,Online,Corporate,Busan,Apparel,Dress,89.29,1,0.033,0.12,86.22,Card,4.8,Completed,0,0,0.1,8.62,2024-05
ADCBE264,2024-04-12,Store B,Online,Corporate,Seoul,Grocery,Rice 5kg,19.58,2,0.012,2.41,36.28,Bank Transfer,3.2,Completed,0,0,0.249,9.03,2024-04
A9E3042C,2024-07-17,Store D,Offline,Consumer,Daegu,Electronics,Tablet,754.87,6,0.065,0.69,4234.13,Card,1.6,Completed,0,0,0.405,1714.82,2024-07
4BECA569,2024-02-21,Store A,Online,Consumer,Seoul,Electronics,Smartphone,284.73,5,0.077,1.19,1312.84,Card,1.7,Completed,0,0,0.281,368.91,2024-02
50CAD3F3,2024-10-19,Store A,Online,Small Business,Seoul,Grocery,Olive Oil 500ml,38.46,1,0.046,4.78,31.91,Card,1.0,Completed,0,0,0.258,8.23,2024-10
9172C513,2024-01-28,Store B,Online,Consumer,Seoul,Beauty,Moisturizer,35.73,3,0.064,0.64,99.69,E-Wallet,1.7,Completed,0,0,0.281,28.01,2024-01
D2DC746E,2024-12-26,Store B,Online,Corporate,Seoul,Grocery,Olive Oil 500ml,14.98,4,0.173,6.37,43.18,Card,3.1,Completed,0,1,0.305,13.17,2024-12
BCC95F17,2024-10-08,Store B,Offline,Corporate,Daejeon,Apparel,T-Shirt,106.83,6,0.121,0.5,562.92,Cash,2.3,Completed,0,0,0.326,183.51,2024-10
4CE8EE56,2024-03-13,Store A,Online,Corporate,Seoul,Beauty,Sunscreen,48.6,1,0.059,0.1,45.63,Bank Transfer,2.8,Returned,1,0,0.264,12.05,2024-03
6D48A1C8,2024-01-03,Store A,Online,Consumer,Seoul,Home,Lamp,164.6,3,0.066,0.42,460.79,Card,3.6,Completed,0,0,0.31,142.84,2024-01
CA8FFD13,2024-10-24,Store A,Offline,Consumer,Seoul,Home,Vacuum,223.55,2,0.089,0.45,406.86,Card,2.6,Completed,0,0,0.397,161.52,2024-10
92439167,2024-09-15,Store E,Offline,Consumer,Seoul,Beauty,Conditioner,49.75,4,0.094,0.27,180.02,E-Wallet,1.7,Completed,0,0,0.35,63.01,2024-09
58734653,2024-09-23,Store B,Offline,Small Business,Seoul,Home,Vacuum,65.5,1,0.094,0.17,59.17,Card,2.9,Completed,0,0,0.444,26.27,2024-09
4174B8DB,2024-10-08,Store B,Online,Small Business,Seoul,Apparel,T-Shirt,85.79,4,0.17,15.49,269.33,Cash,1.9,Completed,0,1,0.234,63.02,2024-10
22423806,2024-01-28,Store D,Online,Consumer,Busan,Apparel,T-Shirt,29.01,2,0.116,5.81,45.48,Card,2.7,Completed,0,1,0.397,18.06,2024-01
55561E17,2024-05-10,Store A,Offline,Consumer,Busan,Beauty,Sunscreen,66.02,5,0.118,1.88,289.27,Card,4.6,Completed,0,0,0.225,65.09,2024-05
EFFC517B,2024-02-12,Store E,Offline,Small Business,Seoul,Electronics,Smartwatch,892.3,2,0.214,6.35,1396.35,Card,2.7,Completed,0,1,0.305,425.89,2024-02
BB72D6E7,2024-11-11,Store D,Online,Corporate,Seoul,Beauty,Shampoo,35.17,2,0.25,10.26,42.5,Card,5.1,Completed,0,1,0.331,14.07,2024-11
6682649D,2024-08-15,Store A,Online,Small Business,Daejeon,Electronics,Smartphone,483.57,2,0.002,3.61,961.6,Card,4.7,Completed,0,1,0.244,234.63,2024-08
326A9B68,2024-04-30,Store B,Online,Consumer,Seoul,Home,Cookware Set,33.0,4,0.0,1.26,130.74,Bank Transfer,2.3,Completed,0,0,0.286,37.39,2024-04
DEF3C94F,2024-01-24,Store E,Offline,Consumer,Seoul,Beauty,Sunscreen,8.99,2,0.072,0.4,16.29,Card,1.7,Completed,0,0,0.344,5.6,2024-01
2FEC6EA5,2024-04-23,Store E,Online,Corporate,Seoul,Electronics,Smartphone,841.06,6,0.163,11.37,4212.43,Card,2.9,Completed,0,1,0.23,968.86,2024-04
4528AF2A,2024-04-28,Store C,Online,Corporate,Seoul,Electronics,Camera,246.47,4,0.13,2.87,854.85,Card,4.4,Returned,3,0,0.397,339.38,2024-04
ADA3167E,2024-09-23,Store C,Online,Consumer,Incheon,Electronics,Camera,484.33,3,0.184,7.51,1178.13,Bank Transfer,2.4,Completed,0,1,0.183,215.6,2024-09
0FE4EEDC,2024-08-20,Store A,Offline,Consumer,Seoul,Home,Air Purifier,248.3,2,0.069,1.33,461.0,Card,4.1,Completed,0,0,0.416,191.78,2024-08
9DA70748,2024-11-19,Store E,Offline,Consumer,Incheon,Grocery,Rice 5kg,35.79,2,0.0,1.72,69.86,Cash,4.5,Completed,0,0,0.35,24.45,2024-11
25A1D2F3,2024-06-21,Store A,Online,Consumer,Seoul,Electronics,Laptop,539.55,5,0.0,5.34,2692.41,Card,2.1,Completed,0,0,0.274,737.72,2024-06
E9D76A63,2024-02-13,Store E,Offline,Consumer,Seoul,Beauty,Conditioner,48.68,3,0.145,0.51,124.35,Card,2.2,Completed,0,0,0.252,31.34,2024-02
