Project_ID,Project_Name,Region,Project_Type,Start_Date,Expected_End_Date,Actual_End_Date,Total_Budget,Spent_Budget,Main_Contractor,Project_Manager,Current_Status,Total_Workers,Safety_Incidents,Material_Cost,Labor_Cost,Equipment_Cost,Risk_Level,Is_Green_Building,Client_Name
PRJ-0001,Dự án Công nghiệp 1,Miền Trung,Công nghiệp,9/21/2020,5/9/2022,4/20/2022,406.63,406.63,Ricons,Nguyễn Văn A,Completed,1416,4,192.25,100.45,44.65,Low,FALSE,Nhà nước
PRJ-0002,Dự án Dân dụng 2,Miền Bắc,Dân dụng,3/19/2018,11/26/2020,2/24/2021,645.26,645.26,Vinaconex,Nguyễn Văn A,Completed,1785,5,275.31,136.44,85.24,Low,TRUE,Phát Đạt
PRJ-0003,Dự án Dân dụng 3,Miền Bắc,Dân dụng,11/23/2019,6/14/2022,,462.2,210.74,Delta,Hoàng Thị E,Suspended,12,2,87.06,44.55,22.29,Low,TRUE,SunGroup
PRJ-0004,Dự án Dân dụng 4,Miền Trung,Dân dụng,5/13/2023,9/1/2024,,383.48,238.69,Coteccons,Hoàng Thị E,In Progress,1047,4,112.65,48.84,32.27,Medium,TRUE,Novaland
PRJ-0005,Dự án Dân dụng 5,Miền Nam,Dân dụng,10/31/2019,5/27/2021,,1338.61,63.73,Coteccons,Lê Văn C,Planning,1,0,31.2,15.8,8.02,Low,TRUE,Đất Xanh
PRJ-0006,Dự án Thương mại 6,Miền Bắc,Thương mại,6/22/2021,2/13/2024,,786.43,130.94,Delta,Phạm Văn D,Suspended,19,3,61.89,31.38,14.53,Medium,TRUE,VinGroup
PRJ-0007,Dự án Dân dụng 7,Miền Trung,Dân dụng,4/29/2021,9/13/2022,,357.09,221.08,Hòa Bình,Phạm Văn D,Suspended,12,0,90.73,56.54,31.63,Medium,FALSE,VinGroup
PRJ-0008,Dự án Dân dụng 8,Miền Nam,Dân dụng,2/28/2019,10/11/2021,,350.6,7.36,Hòa Bình,Trần Thị B,Planning,8,0,3.43,1.77,0.88,Low,FALSE,SunGroup
PRJ-0009,Dự án Dân dụng 9,Miền Bắc,Dân dụng,2/16/2024,9/4/2026,,932.5,497.26,Delta,Nguyễn Văn A,Suspended,1,0,243.25,142.86,69.28,Medium,FALSE,Nhà nước
PRJ-0010,Dự án Thương mại 10,Miền Bắc,Thương mại,5/25/2019,12/6/2020,11/15/2020,1462.79,1462.79,Ricons,Nguyễn Văn A,Completed,1356,3,695.04,412.94,192.85,Low,TRUE,SunGroup
PRJ-0011,Dự án Thương mại 11,Miền Trung,Thương mại,6/4/2024,6/22/2025,,970.43,671.01,Ricons,Trần Thị B,Suspended,19,4,314.13,141.43,67.56,High,TRUE,SunGroup
PRJ-0012,Dự án Công nghiệp 12,Miền Bắc,Công nghiệp,1/26/2024,5/9/2026,,1000.44,763.96,Fecon,Nguyễn Văn A,In Progress,670,5,360.87,154.33,107.74,Low,TRUE,Nhà nước
PRJ-0013,Dự án Thương mại 13,Miền Trung,Thương mại,2/27/2018,7/17/2020,,1337.62,208.65,Hòa Bình,Nguyễn Văn A,In Progress,1147,5,91.04,55.48,23.98,Low,FALSE,Phát Đạt
PRJ-0014,Dự án Hạ tầng 14,Miền Nam,Hạ tầng,6/12/2023,5/24/2024,,994.88,661.71,Hòa Bình,Lê Văn C,Suspended,18,0,276.01,193.44,98.95,Low,TRUE,Masterise
PRJ-0015,Dự án Công nghiệp 15,Miền Nam,Công nghiệp,3/18/2022,5/24/2023,,145.93,56.89,Vinaconex,Nguyễn Văn A,Suspended,14,1,23.37,15.36,6.94,Medium,TRUE,VinGroup
PRJ-0016,Dự án Hạ tầng 16,Miền Nam,Hạ tầng,5/31/2023,1/30/2025,,1327.38,50.23,Coteccons,Trần Thị B,Planning,13,0,21.7,14.78,7.44,High,TRUE,Phát Đạt
PRJ-0017,Dự án Dân dụng 17,Miền Bắc,Dân dụng,7/24/2023,7/9/2025,6/11/2025,792.79,792.79,Vinaconex,Hoàng Thị E,Completed,283,2,380.49,207.48,87.27,High,TRUE,SunGroup
PRJ-0018,Dự án Dân dụng 18,Miền Nam,Dân dụng,10/30/2024,4/2/2026,3/19/2026,638.45,638.45,Ricons,Lê Văn C,Completed,146,5,301.12,158.32,92.55,High,FALSE,BIM Group
PRJ-0019,Dự án Hạ tầng 19,Miền Nam,Hạ tầng,5/26/2019,6/16/2021,5/31/2021,1468.43,1468.43,Fecon,Vũ Văn F,Completed,290,1,730.92,329.91,184.62,Low,TRUE,SunGroup
PRJ-0020,Dự án Thương mại 20,Miền Nam,Thương mại,11/10/2018,12/12/2019,,1403.85,1023.96,Coteccons,Phạm Văn D,In Progress,895,4,415.61,305.39,130.05,High,TRUE,BIM Group
PRJ-0021,Dự án Dân dụng 21,Miền Bắc,Dân dụng,9/23/2023,5/13/2026,8/6/2026,1276.79,1276.79,Ricons,Hoàng Thị E,Completed,1587,4,519.84,357.16,130.73,High,TRUE,Đất Xanh
PRJ-0022,Dự án Dân dụng 22,Miền Nam,Dân dụng,9/23/2018,12/22/2019,,708.34,612.08,Hòa Bình,Phạm Văn D,In Progress,542,0,301.33,155.22,70.51,Low,TRUE,Masterise
PRJ-0023,Dự án Thương mại 23,Miền Trung,Thương mại,2/10/2023,11/1/2023,,1419.03,794.35,Hòa Bình,Lê Văn C,In Progress,944,3,389.35,220.88,111.87,Low,TRUE,SunGroup
PRJ-0024,Dự án Hạ tầng 24,Miền Trung,Hạ tầng,3/4/2023,9/13/2025,,1283.49,58.05,Delta,Lê Văn C,Planning,8,0,23.95,12.83,8.28,High,TRUE,Phát Đạt
PRJ-0025,Dự án Hạ tầng 25,Miền Nam,Hạ tầng,9/14/2023,4/5/2024,6/27/2024,1096.87,1096.87,Conteccons,Vũ Văn F,Completed,143,4,441.61,295.72,147.81,Medium,FALSE,Nhà nước
PRJ-0026,Dự án Hạ tầng 26,Miền Bắc,Hạ tầng,7/29/2024,5/14/2026,,454.08,317.74,Conteccons,Hoàng Thị E,Suspended,15,5,147.89,76.35,37.64,High,FALSE,Đất Xanh
PRJ-0027,Dự án Dân dụng 27,Miền Bắc,Dân dụng,1/12/2023,7/3/2024,,1283.09,1122.49,Ricons,Lê Văn C,In Progress,1949,0,539,258.34,131.44,Low,TRUE,SunGroup
PRJ-0028,Dự án Thương mại 28,Miền Trung,Thương mại,5/8/2024,10/15/2025,,250.31,98.76,Coteccons,Hoàng Thị E,Suspended,13,2,39.75,22.3,13.39,Medium,FALSE,BIM Group
PRJ-0029,Dự án Công nghiệp 29,Miền Bắc,Công nghiệp,4/9/2019,9/14/2021,,1027.79,578.35,Coteccons,Phạm Văn D,Suspended,0,1,233.53,127.6,72.61,High,FALSE,Đất Xanh
PRJ-0030,Dự án Công nghiệp 30,Miền Trung,Công nghiệp,12/27/2024,1/29/2027,,104.63,48.9,Hòa Bình,Lê Văn C,In Progress,680,5,22.29,9.84,6.16,High,FALSE,Phát Đạt
PRJ-0031,Dự án Thương mại 31,Miền Trung,Thương mại,3/23/2024,9/16/2025,,409.89,244.31,Vinaconex,Vũ Văn F,In Progress,1334,1,120.99,65.56,27.22,High,TRUE,VinGroup
PRJ-0032,Dự án Hạ tầng 32,Miền Nam,Hạ tầng,4/4/2018,11/26/2019,,1048.22,22.97,Delta,Vũ Văn F,Planning,9,0,11.13,6.07,2.68,High,FALSE,SunGroup
PRJ-0033,Dự án Hạ tầng 33,Miền Bắc,Hạ tầng,8/31/2024,2/15/2026,2/6/2026,278.37,278.37,Fecon,Vũ Văn F,Completed,226,5,124.82,81.61,28.31,Low,TRUE,SunGroup
PRJ-0034,Dự án Hạ tầng 34,Miền Bắc,Hạ tầng,4/15/2022,1/4/2024,,1295.13,57.63,Delta,Nguyễn Văn A,Planning,11,0,27.37,13.45,7.96,Medium,FALSE,Phát Đạt
PRJ-0035,Dự án Công nghiệp 35,Miền Trung,Công nghiệp,11/11/2019,3/23/2021,3/23/2021,912.34,912.34,Fecon,Hoàng Thị E,Completed,472,2,411.6,272.44,129.75,High,TRUE,Phát Đạt
PRJ-0036,Dự án Công nghiệp 36,Miền Bắc,Công nghiệp,8/1/2020,9/2/2022,10/14/2022,947.09,947.09,Hòa Bình,Trần Thị B,Completed,1194,5,380.04,196.87,131.04,Medium,TRUE,BIM Group
PRJ-0037,Dự án Hạ tầng 37,Miền Trung,Hạ tầng,2/12/2022,12/22/2022,,1136.91,438.39,Ricons,Hoàng Thị E,Suspended,6,4,178.47,113.53,64.32,Medium,TRUE,Masterise
PRJ-0038,Dự án Hạ tầng 38,Miền Bắc,Hạ tầng,6/18/2020,3/13/2021,5/2/2021,149.15,149.15,Ricons,Trần Thị B,Completed,593,2,67.24,37.13,21.81,High,TRUE,Masterise
PRJ-0039,Dự án Công nghiệp 39,Miền Nam,Công nghiệp,5/14/2023,1/26/2026,1/3/2026,61.99,61.99,Vinaconex,Trần Thị B,Completed,828,5,30.34,14.07,6.81,Medium,FALSE,VinGroup
